Date,Open,High,Low,Close,Adj Close,Volume
2021-02-09,3195.000000,3245.800049,3164.000000,3176.899902,3142.987061,2658751
2021-02-10,3185.000000,3219.399902,3157.300049,3213.300049,3178.998535,2127983
2021-02-11,3215.000000,3219.300049,3185.050049,3206.000000,3171.776611,1165882
2021-02-12,3184.199951,3245.500000,3182.000000,3190.800049,3156.739014,2777404
2021-02-15,3209.000000,3209.000000,3131.550049,3139.850098,3106.332764,2630853
2021-02-16,3150.000000,3167.649902,3100.000000,3108.800049,3075.614014,3435770
2021-02-17,3105.100098,3132.850098,3045.550049,3073.100098,3040.295166,3678426
2021-02-18,3065.000000,3097.899902,3031.000000,3057.350098,3024.713379,4189909
2021-02-19,3058.000000,3087.149902,3016.149902,3071.850098,3039.058594,3725028
2021-02-22,3096.000000,3096.000000,2943.149902,2958.449951,2926.868896,5366696
2021-02-23,2970.000000,3028.000000,2968.000000,2980.199951,2948.386719,3832829
2021-02-24,2972.000000,3003.350098,2921.149902,2948.100098,2916.629883,3774549
2021-02-25,2974.000000,3029.899902,2968.449951,2995.300049,2963.325928,4224073
2021-02-26,2960.000000,2972.350098,2880.000000,2894.300049,2863.403809,5553153
2021-03-01,2926.000000,2965.000000,2901.800049,2924.199951,2892.984863,3265871
2021-03-02,2960.000000,3025.000000,2948.000000,3006.350098,2974.257813,3306469
2021-03-03,3035.000000,3064.000000,2996.899902,3059.100098,3026.445068,3509857
2021-03-04,3023.000000,3081.449951,3016.050049,3049.699951,3017.144775,3916760
2021-03-05,3016.100098,3063.199951,2996.600098,3008.050049,2975.939697,3203686
2021-03-08,3016.000000,3033.000000,2996.000000,3006.949951,2974.851563,2003125
2021-03-09,3006.949951,3066.899902,2992.100098,3050.949951,3018.381592,1942397
2021-03-10,3075.000000,3093.199951,3060.000000,3070.949951,3038.168213,3053778
2021-03-12,3075.000000,3117.000000,3041.350098,3057.949951,3025.306885,2938317
2021-03-15,3041.000000,3099.000000,3041.000000,3066.149902,3033.419434,3097083
2021-03-16,3060.000000,3141.000000,3060.000000,3110.050049,3076.851074,4894756
2021-03-17,3105.000000,3155.000000,3085.300049,3112.949951,3079.719971,3838390
2021-03-18,3125.949951,3146.449951,2987.050049,3036.500000,3004.085938,3656306
2021-03-19,3030.000000,3099.000000,3005.000000,3050.199951,3017.639648,5776626
2021-03-22,3048.699951,3139.449951,3018.649902,3129.649902,3096.241455,2821646
2021-03-23,3140.000000,3169.000000,3122.850098,3142.600098,3109.053467,3305973
2021-03-24,3111.199951,3152.300049,3111.149902,3121.100098,3087.782959,2207104
2021-03-25,3112.199951,3130.850098,3050.000000,3064.850098,3032.133545,3179786
2021-03-26,3090.649902,3118.000000,3043.050049,3066.800049,3034.062744,3697370
2021-03-30,3083.000000,3188.449951,3060.899902,3158.550049,3124.833252,4694008
2021-03-31,3155.000000,3205.000000,3132.000000,3177.850098,3143.927002,3530069
2021-04-01,3191.100098,3215.000000,3145.000000,3165.000000,3131.214355,4285076
2021-04-05,3171.000000,3263.000000,3151.000000,3238.899902,3204.325439,5317862
2021-04-06,3275.000000,3275.000000,3230.000000,3264.699951,3229.850098,2291562
